Frame,Timestamp,Motion_Pixels,Event
71,2026-03-02 20:47:12,857,High Motion Detected
72,2026-03-02 20:47:12,1034,High Motion Detected
73,2026-03-02 20:47:12,950,High Motion Detected
74,2026-03-02 20:47:12,935,High Motion Detected
76,2026-03-02 20:47:12,1041,High Motion Detected
77,2026-03-02 20:47:12,1635,High Motion Detected
78,2026-03-02 20:47:12,1971,High Motion Detected
79,2026-03-02 20:47:12,2080,High Motion Detected
80,2026-03-02 20:47:12,2149,High Motion Detected
81,2026-03-02 20:47:12,2297,High Motion Detected
82,2026-03-02 20:47:12,2382,High Motion Detected
83,2026-03-02 20:47:12,2417,High Motion Detected
84,2026-03-02 20:47:12,2205,High Motion Detected
85,2026-03-02 20:47:13,2277,High Motion Detected
86,2026-03-02 20:47:13,2188,High Motion Detected
87,2026-03-02 20:47:13,2226,High Motion Detected
88,2026-03-02 20:47:13,2305,High Motion Detected
89,2026-03-02 20:47:13,2276,High Motion Detected
90,2026-03-02 20:47:13,2128,High Motion Detected
91,2026-03-02 20:47:13,1929,High Motion Detected
92,2026-03-02 20:47:13,1977,High Motion Detected
93,2026-03-02 20:47:13,1946,High Motion Detected
94,2026-03-02 20:47:13,1978,High Motion Detected
95,2026-03-02 20:47:13,2049,High Motion Detected
96,2026-03-02 20:47:13,2045,High Motion Detected
97,2026-03-02 20:47:13,2095,High Motion Detected
98,2026-03-02 20:47:13,2055,High Motion Detected
99,2026-03-02 20:47:13,2030,High Motion Detected
100,2026-03-02 20:47:13,1807,High Motion Detected
101,2026-03-02 20:47:13,1506,High Motion Detected
102,2026-03-02 20:47:13,1219,High Motion Detected
103,2026-03-02 20:47:13,856,High Motion Detected
